Title,Author,Year Published,Genre,Description,Image URL
1984,George Orwell,1949,Dystopian,A dystopian society under constant surveillance from an authoritarian government.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348990566l/5470.jpg
A Clockwork Orange,Anthony Burgess,1962,Dystopian,A dystopian novel about the extreme culture of violence and the human desire for free will.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348339306l/227463.jpg
A Passage to India,E.M. Forster,1924,Historical,Explores the British colonial presence in India and the deep cultural misunderstandings between the two cultures.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421883612i/45195.jpg
A Tale of Two Cities,Charles Dickens,1859,Historical,"The struggles of the French peasantry, the French Revolution, and love in the time of turmoil.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523l/1953.jpg
All the Light We Cannot See,Anthony Doerr,2014,Historical Fiction,The parallel stories of a blind French girl and a German boy whose paths collide in occupied France during World War II.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646l/18143977.jpg
Animal Farm,George Orwell,1945,Political Satire,A farm's dystopian society is formed when the animals decide to overthrow the humans.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424037542l/7613.jpg
Anna Karenina,George Orwell,1877,Classic,The tragic story of the titular character who is torn between duty and love.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480.jpg
Atlas Shrugged,Ayn Rand,1957,Philosophical,"Explores a dystopian United States where leading innovators, ranging from artists to industrialists, refuse to be exploited by society.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405868167l/662.jpg
Atonement,Ian McEwan,2001,Literary Fiction,A young girl's mistake changes lives and leads to a personal reflection on guilt and forgiveness during WWII.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320449708i/6867.jpg
Beloved,Toni Morrison,1987,Literary Fiction,Examines the enduring trauma of slavery and its impact on a family in post-Civil War America.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632283781i/6149.jpg
Bleak House,Charles Dickens,1853,Classic,A complex narrative exploring the brutal English legal system.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1280113147i/31242.jpg
Blood Meridian,Cormac McCarthy,1985,Western,An epic novel of the violence and depravity that attended America's westward expansion.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1701688704i/394535.jpg
Brave New World,Aldous Huxley,1932,Dystopian,"A futuristic society that has achieved peace and stability through the prohibition of monogamy, privacy, money, family, and history itself.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg
Catch-22,Joseph Heller,1961,War,"A satirical indictment of military madness and stupidity, and the desire of the ordinary man to survive it.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668.jpg
Cloud Atlas,David Mitchell,2004,Science Fiction,A novel consisting of six interconnected stories spanning several centuries and genres.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1563042852i/49628.jpg
Crime and Punishment,Fyodor Dostoevsky,1866,Philosophical,A young impoverished student in Saint Petersburg who formulates and executes a plan to kill an unscrupulous pawnbroker for her cash.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449l/7144.jpg
Don Quixote,Miguel de Cervantes,1605,Adventure,The story of a delusional Spanish knight who sallies forth to restore chivalry.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546112331i/3836.jpg
Dracula,Bram Stoker,1897,Horror,The classic tale of Count Dracula's attempt to move from Transylvania to England.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245.jpg
Dune,Frank Herbert,1965,Science Fiction,"A complex tale of politics, religion, and power set on the desert planet of Arrakis.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg
Emma,Jane Austen,1815,Classic,The misadventures of matchmaking in a small English town.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1373627931i/6969.jpg
For Whom the Bell Tolls,Ernest Hemingway,1940,War,A gripping tale of the brutality of the Spanish Civil War.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1492591524i/46170.jpg
Frankenstein,Mary Shelley,1818,Science Fiction,A gothic tale of a man who creates a monster.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381512375l/18490.jpg
Gone with the Wind,Margaret Mitchell,1936,Historical,The survival of a Southern belle through love and war during the American Civil War.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328025229l/18405.jpg
Gravity's Rainbow,Thomas Pynchon,1973,Postmodern,A complex analysis of history and conspiracy during the final months of World War II in Europe.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657594227i/415.jpg
Gulliver's Travels,Jonathan Swift,1726,Satire,A satirical novel about Lemuel Gulliver's voyages to strange and extraordinary lands.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427829692i/7733.jpg
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,Fantasy,The beginning of Harry Potter's destiny as a wizard and his battle with Voldemort.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3.jpg
Infinite Jest,David Foster Wallace,1996,Postmodern,"A sprawling narrative exploring themes of addiction and recovery, entertainment and consumption.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1446876799i/6759.jpg
Invisible Man,Ralph Ellison,1952,Literary Fiction,A novel that delves into the social and intellectual issues facing African-Americans in the early 20th century.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1556482805i/16981.jpg
Jane Eyre,Charlotte Brontë,1847,Gothic,"A novel following the emotions and experiences of its eponymous heroine, including her growth to adulthood.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867269l/10210.jpg
Les Misérables,Victor Hugo,1862,Historical,"A novel that examines the nature of law and grace, elaborating upon the history of France, the architecture of Paris.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091l/24280.jpg
Light in August,William Faulkner,1932,Southern Gothic,A complex narrative of racial identity and segregation in the American South.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355360091i/10979.jpg
Little Women,Louisa May Alcott,1868,Classic,The lives and struggles of four sisters growing up during the American Civil War.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934.jpg
Lolita,Vladimir Nabokov,1955,Classic,A middle-aged man becomes obsessed with a twelve-year-old girl.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604.jpg
Lord of the Flies,William Golding,1954,Classic,A story about a group of boys stranded on an island who turn to savagery.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624.jpg
Madame Bovary,Gustave Flaubert,1856,Realism,"A profound narrative focusing on the desires and sufferings of Emma Bovary, who seeks escape through forbidden relationships.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606770119i/2175.jpg
Mansfield Park,Jane Austen,1814,Classic,"The story of Fanny Price, who is raised by her wealthy aunt and uncle, exploring issues of class and morality.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397063295i/45032.jpg
Middlesex,Jeffrey Eugenides,2002,Fiction,A multigenerational saga exploring gender identity and the American immigrant experience.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437029776i/2187.jpg
Moby Dick,Herman Melville,1851,Classic,The epic quest of Captain Ahab to seek revenge on the white whale that crippled him.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327940656l/153747.jpg
Mrs. Dalloway,Virginia Woolf,1925,Modernist,Details a day in the life of Clarissa Dalloway as she prepares for a party in post-World War I England.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1646148221i/14942.jpg
Native Son,Richard Wright,1940,Social Critique,A powerful novel about the conditions of African Americans in Chicago during the 1930s.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327880607l/6175.jpg
Never Let Me Go,Kazuo Ishiguro,2005,Dystopian,A group of children at a boarding school come to face the dark truth about their existence and the outside world.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353048590i/6334.jpg
Norwegian Wood,Haruki Murakami,1987,Romance,"A melancholic story reflecting on loss, nostalgia, and young love in 1960s Tokyo.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1713542603i/11297.jpg
One Hundred Years of Solitude,Gabriel García Márquez,1967,Magical Realism,"Tells the multi-generational story of the Buendía family, whose patriarch founded the town of Macondo, a fictitious country in Latin America.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361l/320.jpg
Pale Fire,Vladimir Nabokov,1962,Postmodern,"Consists of a 999-line poem by a fictional poet, accompanied by a commentary from a delusional scholar.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388155863i/7805.jpg
Persepolis,Marjane Satrapi,2000,Graphic Novel,An autobiographical graphic novel about a young girl's experiences growing up during the Islamic Revolution in Iran.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375777630i/9522.jpg
Pride and Prejudice,Jane Austen,1813,Romance,The turbulent relationship between Elizabeth Bennet and Mr. Darcy.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg
Rebecca,Daphne du Maurier,1938,Classic,"A classic tale of haunting and jealousy from the perspective of a new, young wife.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169l/17899948.jpg
